City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sarmanovo,RU,2020-08-17 22:16:55,55.26,52.59,51.8,100,75,11.18
70,Hobart,AU,2020-08-17 22:14:32,-42.88,147.33,44.6,100,40,5.82
71,Cherskiy,RU,2020-08-17 22:16:55,68.75,161.3,42.57,90,100,13.24
72,Moose Factory,CA,2020-08-17 22:16:55,51.26,-80.61,59.0,93,90,4.7
73,Mizdah,LY,2020-08-17 22:16:55,31.45,12.98,82.42,33,5,9.08
74,Namibe,AO,2020-08-17 22:16:56,-15.2,12.15,59.14,83,12,8.3
75,Mahanoro,MG,2020-08-17 22:16:56,-19.9,48.8,64.56,88,0,3.6
76,Luganville,VU,2020-08-17 22:16:56,-15.53,167.17,78.8,83,40,3.36
77,Tura,IN,2020-08-17 22:15:39,25.52,90.22,74.75,97,92,5.75
78,Salalah,OM,2020-08-17 22:16:56,17.02,54.09,77.0,100,90,3.36
79,Liaoyang,CN,2020-08-17 22:16:56,41.27,123.17,75.2,100,75,6.71
80,Nikolskoye,RU,2020-08-17 22:16:57,59.7,30.79,53.6,87,0,2.24
81,Lagoa,PT,2020-08-17 22:16:57,39.05,-27.98,74.7,88,81,27.76
82,Evensk,RU,2020-08-17 22:16:57,61.95,159.23,56.17,43,62,6.87
83,Huarmey,PE,2020-08-17 22:16:57,-10.07,-78.15,63.45,74,60,11.5
84,Deputatskiy,RU,2020-08-17 22:12:07,69.3,139.9,40.01,76,79,3.6
85,Saldanha,ZA,2020-08-17 22:16:57,-33.01,17.94,48.2,76,21,4.7
86,Talnakh,RU,2020-08-17 22:16:57,69.49,88.4,53.6,58,0,6.71
87,Guiratinga,BR,2020-08-17 22:16:58,-16.35,-53.76,85.05,25,37,1.34
88,Avarua,CK,2020-08-17 22:16:58,-21.21,-159.78,73.4,64,8,10.29
89,Puerto Ayora,EC,2020-08-17 22:16:58,-0.74,-90.35,73.4,73,40,20.8
90,Bitung,ID,2020-08-17 22:16:58,1.45,125.18,71.6,88,20,2.24
91,Saint-Philippe,RE,2020-08-17 22:16:58,-21.36,55.77,69.8,64,40,8.05
92,Qaqortoq,GL,2020-08-17 22:16:58,60.72,-46.03,57.2,54,3,4.7
93,Chaman,PK,2020-08-17 22:16:58,30.92,66.45,77.22,18,0,1.9
94,Chuy,UY,2020-08-17 22:16:59,-33.7,-53.46,47.84,80,0,6.13
95,Vilyuysk,RU,2020-08-17 22:16:59,63.76,121.62,47.55,63,0,3.6
96,Mount Gambier,AU,2020-08-17 22:16:59,-37.83,140.77,46.4,100,90,10.29
97,Carnarvon,AU,2020-08-17 22:14:14,-24.87,113.63,51.8,100,17,6.93
98,Airai,TL,2020-08-17 22:16:59,-8.93,125.41,54.93,76,0,2.73
99,Kavieng,PG,2020-08-17 22:16:59,-2.57,150.8,82.58,76,1,9.44
100,Alice Springs,AU,2020-08-17 22:16:59,-23.7,133.88,57.2,47,0,5.82
101,Hilo,US,2020-08-17 22:16:59,19.73,-155.09,84.2,58,75,10.29
102,Killybegs,IE,2020-08-17 22:16:59,54.63,-8.45,60.01,96,100,6.89
103,Qaanaaq,GL,2020-08-17 22:17:00,77.48,-69.36,42.55,61,100,6.6
104,Awbari,LY,2020-08-17 22:17:00,26.59,12.78,85.77,18,0,11.48
105,Rio Pardo,BR,2020-08-17 22:17:00,-29.99,-52.38,54.1,74,0,3.8
106,Ostrovnoy,RU,2020-08-17 22:17:00,68.05,39.51,42.1,86,95,13.06
107,Dongying,CN,2020-08-17 22:17:00,37.46,118.49,81.14,87,0,6.46
108,Vardo,NO,2020-08-17 22:14:31,70.37,31.11,44.6,87,40,10.29
109,Broken Hill,AU,2020-08-17 22:17:00,-31.95,141.43,44.6,81,2,3.36
110,Hualmay,PE,2020-08-17 22:17:01,-11.1,-77.61,62.47,73,100,11.23
111,Castro,BR,2020-08-17 22:14:54,-24.79,-50.01,60.64,95,100,7.58
112,Severo-Kurilsk,RU,2020-08-17 22:17:01,50.68,156.12,52.36,88,89,1.74
113,Half Moon Bay,US,2020-08-17 22:17:01,37.46,-122.43,89.01,77,1,12.75
114,Khatanga,RU,2020-08-17 22:17:01,71.97,102.5,58.89,88,100,6.71
115,Gossaigaon,IN,2020-08-17 22:17:02,26.45,89.99,78.31,91,84,3.27
116,Cordoba,AR,2020-08-17 22:12:54,-31.41,-64.18,69.8,19,0,10.29
117,Lastoursville,GA,2020-08-17 22:17:02,-0.81,12.73,74.71,89,100,2.64
118,Nauta,PE,2020-08-17 22:17:02,-4.51,-73.58,91.56,51,56,1.61
119,Virginia Beach,US,2020-08-17 22:14:33,36.85,-75.98,80.6,65,75,8.05
120,Butaritari,KI,2020-08-17 22:17:02,3.07,172.79,81.72,63,1,7.96
121,Nador,MA,2020-08-17 22:13:23,35.17,-2.93,78.8,69,0,4.7
122,Atuona,PF,2020-08-17 22:13:55,-9.8,-139.03,78.33,74,8,15.01
123,Gumla,IN,2020-08-17 22:17:03,23.05,84.55,73.94,94,97,5.3
124,Kutum,SD,2020-08-17 22:17:03,14.2,24.67,68.22,86,99,11.03
125,La Ronge,CA,2020-08-17 22:17:03,55.1,-105.28,78.8,54,20,8.05
126,Balingasay,PH,2020-08-17 22:17:03,16.36,119.86,81.86,79,97,9.73
127,Svetlogorsk,BY,2020-08-17 22:17:04,52.63,29.73,63.37,85,26,3.09
128,Ilmajoki,FI,2020-08-17 22:17:04,62.73,22.57,39.2,93,5,1.95
129,Soe,ID,2020-08-17 22:17:04,-9.86,124.28,60.08,83,0,3.53
130,Saint-Pierre,RE,2020-08-17 22:17:04,-21.34,55.48,68.0,64,36,8.05
131,Slave Lake,CA,2020-08-17 22:17:04,55.28,-114.77,80.6,47,75,3.36
132,Yerbogachen,RU,2020-08-17 22:12:05,61.28,108.01,46.54,68,0,1.79
133,Muros,ES,2020-08-17 22:17:04,42.78,-9.06,64.99,93,100,1.99
134,Garca,BR,2020-08-17 22:15:21,-22.21,-49.66,63.0,98,100,5.99
135,Gillette,US,2020-08-17 22:17:04,44.29,-105.5,96.8,11,1,9.4
136,Bubaque,GW,2020-08-17 22:17:05,11.28,-15.83,80.51,82,83,16.84
137,Whitianga,NZ,2020-08-17 22:17:05,-36.83,175.7,57.99,81,100,11.01
138,Camacha,PT,2020-08-17 22:17:05,33.08,-16.33,73.4,83,20,5.82
139,Tateyama,JP,2020-08-17 22:17:05,34.98,139.87,84.99,91,4,4.85
140,Clyde River,CA,2020-08-17 22:17:05,70.47,-68.59,59.0,72,75,21.92
141,Yumen,CN,2020-08-17 22:17:05,40.28,97.2,56.05,35,0,0.85
142,Sioux Lookout,CA,2020-08-17 22:17:06,50.1,-91.92,69.8,46,40,10.29
143,Saint Andrews,US,2020-08-17 22:17:06,34.05,-81.13,91.99,52,40,4.7
144,Andrushivka,UA,2020-08-17 22:17:06,50.02,29.02,64.47,51,0,4.52
145,East London,ZA,2020-08-17 22:17:06,-33.02,27.91,59.67,49,69,26.31
146,Shakawe,BW,2020-08-17 22:17:06,-18.37,21.85,63.68,26,0,5.06
147,Sterling,US,2020-08-17 22:17:06,39.01,-77.43,82.4,69,75,6.93
148,Srandakan,ID,2020-08-17 22:17:07,-7.94,110.25,74.82,87,6,6.91
149,Tasiilaq,GL,2020-08-17 22:17:07,65.61,-37.64,48.2,93,59,4.7
150,Tuatapere,NZ,2020-08-17 22:17:07,-46.13,167.68,35.01,97,84,4.0
151,Thompson,CA,2020-08-17 22:15:49,55.74,-97.86,64.4,52,75,4.7
152,Shache,CN,2020-08-17 22:17:07,38.42,77.24,67.06,26,0,4.0
153,Krasnoselkup,RU,2020-08-17 22:17:07,65.7,82.47,55.27,93,85,7.99
154,Smithers,CA,2020-08-17 22:15:49,54.78,-127.17,75.2,47,75,6.93
155,Coahuayana,MX,2020-08-17 22:17:08,18.73,-103.68,77.0,83,75,11.41
156,Sao Paulo De Olivenca,BR,2020-08-17 22:17:08,-3.38,-68.87,84.9,68,68,0.85
157,Daru,PG,2020-08-17 22:17:08,-9.08,143.21,75.96,79,3,11.63
158,Cidreira,BR,2020-08-17 22:17:08,-30.18,-50.21,57.27,84,0,8.41
159,Arraial Do Cabo,BR,2020-08-17 22:17:08,-22.97,-42.03,75.2,88,99,3.36
160,Ponta Do Sol,PT,2020-08-17 22:17:08,32.67,-17.1,75.2,69,20,13.87
161,Ivybridge,GB,2020-08-17 22:17:08,50.39,-3.92,61.0,94,99,9.48
162,Yulara,AU,2020-08-17 22:14:03,-25.24,130.99,44.6,44,0,2.24
163,Verkhoyansk,RU,2020-08-17 22:17:09,67.54,133.38,50.97,49,19,2.77
164,Homer,US,2020-08-17 22:17:09,59.64,-151.55,64.4,63,1,9.17
165,Singaraja,ID,2020-08-17 22:17:09,-8.11,115.09,77.52,73,36,4.79
166,Harwich,GB,2020-08-17 22:17:09,51.94,1.28,66.0,75,67,4.0
167,Provideniya,RU,2020-08-17 22:14:42,64.38,-173.3,51.8,71,90,11.18
168,Altay,CN,2020-08-17 22:17:09,47.87,88.12,60.57,33,0,5.77
169,Darhan,MN,2020-08-17 22:17:09,49.49,105.92,47.62,60,0,1.59
170,Las Palmas,ES,2020-08-17 22:17:10,28.42,-14.01,75.2,73,0,14.99
171,Ust-Ordynskiy,RU,2020-08-17 22:17:10,52.8,104.75,44.6,100,0,4.47
172,Alness,GB,2020-08-17 22:17:10,57.7,-4.26,57.99,93,100,3.36
173,Touros,BR,2020-08-17 22:17:10,-5.2,-35.46,77.0,78,20,9.17
174,Novoagansk,RU,2020-08-17 22:17:10,61.94,76.66,54.52,78,99,9.01
175,Ambon,ID,2020-08-17 22:12:20,-3.7,128.18,75.0,94,40,9.17
176,Longyearbyen,SJ,2020-08-17 22:14:41,78.22,15.64,46.4,70,40,11.41
177,Eureka,US,2020-08-17 22:17:11,40.8,-124.16,63.0,5,100,3.0
178,Taitung,TW,2020-08-17 22:17:11,22.76,121.14,79.93,74,69,7.23
179,Dubbo,AU,2020-08-17 22:16:01,-32.25,148.62,46.4,100,90,4.7
180,Qui Nhon,VN,2020-08-17 22:17:11,13.77,109.23,78.6,80,87,5.03
181,Klaksvik,FO,2020-08-17 22:17:11,62.23,-6.59,48.2,100,0,3.36
182,Fortuna,US,2020-08-17 22:17:11,40.6,-124.16,69.01,75,100,1.99
183,Bambous Virieux,MU,2020-08-17 22:17:11,-20.34,57.76,71.01,82,20,8.05
184,Saint-Nazaire,FR,2020-08-17 22:17:11,47.28,-2.2,61.0,93,0,3.36
185,Puerto Colombia,CO,2020-08-17 22:16:33,10.99,-74.95,73.4,100,75,6.93
186,Misasi,TZ,2020-08-17 22:17:12,-3.0,33.08,66.99,51,94,5.08
187,Burns Lake,CA,2020-08-17 22:15:49,54.23,-125.75,78.3,32,70,8.55
188,Sao Pedro Do Sul,BR,2020-08-17 22:14:06,-29.62,-54.18,62.6,59,0,6.93
189,Ballina,AU,2020-08-17 22:17:12,-28.87,153.57,50.0,81,0,4.7
190,Aklavik,CA,2020-08-17 22:14:31,68.22,-135.01,62.6,63,40,8.05
191,Hamilton,US,2020-08-17 22:13:18,39.18,-84.53,86.0,42,40,9.17
192,Arroyo,ES,2020-08-17 22:17:12,41.61,-4.8,62.01,93,75,4.7
193,Constitucion,CL,2020-08-17 22:17:12,-35.33,-72.42,51.04,75,0,13.51
194,Sechura,PE,2020-08-17 22:17:12,-5.56,-80.82,71.26,62,38,17.25
195,Banda Aceh,ID,2020-08-17 22:17:13,5.56,95.32,78.84,78,4,8.81
196,Sao Filipe,CV,2020-08-17 22:14:27,14.9,-24.5,78.17,85,62,4.97
197,Ekhabi,RU,2020-08-17 22:17:13,53.51,142.97,56.05,82,98,1.57
198,Voh,NC,2020-08-17 22:17:13,-20.97,164.7,69.69,77,94,8.61
